Command: kubectl get events --sort-by=.lastTimestamp -A
STDOUT:
NAMESPACE         LAST SEEN   TYPE      REASON                                   OBJECT                                                         MESSAGE
gmp-system        60m         Normal    SuccessfulCreate                         daemonset/collector                                            Created pod: collector-n76jb
kube-system       60m         Normal    Created                                  pod/konnectivity-agent-78dd94f664-d6gvw                        Container created
gmp-system        60m         Normal    Scheduled                                pod/collector-n76jb                                            Successfully assigned gmp-system/collector-n76jb to gke-gke-a3h-spot-f6ede8-system-09bfc50a-fhrj
gke-managed-cim   60m         Normal    Created                                  pod/kube-state-metrics-0                                       Container created
kube-system       60m         Normal    Pulling                                  pod/konnectivity-agent-78dd94f664-d6gvw                        Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260121_2300_RC0@sha256:3cbd2b897c681db94832b4e03e58e4e2168666259507ff8fb8ae43a01a3b5f5d"
gke-managed-cim   60m         Normal    Pulling                                  pod/kube-state-metrics-0                                       Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260113_2300_RC0@sha256:5eb81dc265af031294a413a32fde1b59d5b8480e3f131a09b5a1059294aefd99"
kube-system       60m         Normal    Created                                  pod/kube-dns-586c9659dd-vd952                                  Container created
kube-system       60m         Normal    Created                                  pod/kube-dns-586c9659dd-97xh9                                  Container created
kube-system       60m         Normal    Started                                  pod/kube-dns-586c9659dd-97xh9                                  Container started
kube-system       60m         Normal    Pulling                                  pod/kube-dns-586c9659dd-97xh9                                  Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-sidecar:1.26.8-gke.3@sha256:58eed94278e7b43ad2f4c302fd7457e4b5429e1296854d75c75ad45646e259d0"
kube-system       60m         Normal    Pulled                                   pod/kube-dns-586c9659dd-97xh9                                  Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-dnsmasq-nanny:1.26.8-gke.3@sha256:b5a2a5d776d611873573087f2caae2655122eb6354ca33856358331a1dcb9f2a" in 1.537s (9.323s including waiting). Image size: 33471642 bytes.
kube-system       60m         Normal    Pulled                                   pod/kube-dns-586c9659dd-vd952                                  Successfully pulled image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-dnsmasq-nanny:1.26.8-gke.3@sha256:b5a2a5d776d611873573087f2caae2655122eb6354ca33856358331a1dcb9f2a" in 885ms (4.572s including waiting). Image size: 33471642 bytes.
kube-system       60m         Normal    Started                                  pod/kube-dns-586c9659dd-vd952                                  Container started
kube-system       60m         Normal    Pulling                                  pod/kube-dns-586c9659dd-vd952                                  Pulling image "europe-west4-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-sidecar:1.26.8-gke.3@sha256:58eed94278e7b43ad2f4c302fd7457e4b5429e1296854d75c75ad45646e259d0"
kube-system       60m         Normal    Created                                  pod/event-exporter-gke-54fb5f8f4c-z9jxx                        Container created
