Command: kubectl get events --sort-by=.lastTimestamp -A
STDOUT:
NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                          MESSAGE
kube-system                   48m         Warning   FailedScheduling                         pod/kube-dns-autoscaler-5b8b5b9848-zmp7d                        no nodes available to schedule pods
kube-system                   53m         Warning   FailedScheduling                         pod/kube-dns-autoscaler-5b8b5b9848-zmp7d                        0/3 nodes are available: 3 node(s) were unschedulable. preemption: 0/3 nodes are available: 3 Preemption is not helpful for scheduling.
kube-system                   54m         Normal    Scheduled                                pod/kube-dns-autoscaler-5b8b5b9848-5xsh9                        Successfully assigned kube-system/kube-dns-autoscaler-5b8b5b9848-5xsh9 to gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
kube-system                   54m         Warning   FailedScheduling                         pod/kube-dns-autoscaler-5b8b5b9848-5xsh9                        no nodes available to schedule pods
kube-system                   55m         Warning   FailedScheduling                         pod/kube-dns-autoscaler-5b8b5b9848-5xsh9                        no nodes available to schedule pods
gke-managed-cim               56m         Warning   FailedScheduling                         pod/kube-state-metrics-0                                        no nodes available to schedule pods
gke-managed-cim               54m         Warning   FailedScheduling                         pod/kube-state-metrics-0                                        no nodes available to schedule pods
gke-managed-cim               54m         Normal    Scheduled                                pod/kube-state-metrics-0                                        Successfully assigned gke-managed-cim/kube-state-metrics-0 to gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
kube-system                   54m         Normal    Scheduled                                pod/l7-default-backend-b5b9d8d6f-nkt6j                          Successfully assigned kube-system/l7-default-backend-b5b9d8d6f-nkt6j to gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
kube-system                   47m         Normal    Scheduled                                pod/event-exporter-gke-588455645b-5ksgc                         Successfully assigned kube-system/event-exporter-gke-588455645b-5ksgc to gke-gke-a3h-spot-dc0273-system-43f3157b-487v
kube-system                   54m         Normal    Scheduled                                pod/kube-dns-859ff5b767-wgmbv                                   Successfully assigned kube-system/kube-dns-859ff5b767-wgmbv to gke-gke-a3h-spot-dc0273-default-pool-c6df61cd-2lz6
kube-system                   54m         Warning   FailedScheduling                         pod/kube-dns-859ff5b767-wgmbv                                   no nodes available to schedule pods
kube-system                   56m         Warning   FailedScheduling                         pod/kube-dns-859ff5b767-wgmbv                                   no nodes available to schedule pods
